profile_id,hits_identified
PRS1242619,142
PRS1242620,72
PRS1242621,9
PRS1242622,19
PRS1242625,42
PRS1242629,72
PRS1242634,25
PRS1242639,50
PRS1242642,30
PRS1242643,84
PRS1242653,7
PRS1242654,0
PRS1242658,174
PRS1242664,37
PRS1242665,328
PRS1242667,324
PRS1242673,312
PRS1242678,264
PRS1242686,8
PRS1242691,2
PRS1242694,1572
PRS1242697,16
PRS1242700,205
PRS1242707,36
PRS1242718,21
PRS1242722,134
PRS1242728,3
PRS1242730,12
PRS1242740,143
PRS1242741,164
PRS1242743,119
PRS1242744,6
PRS1242750,11
PRS1242751,4
PRS1242758,15
PRS1242772,134
PRS1242780,19
PRS1242781,43
PRS1242783,78
PRS1242789,25
PRS1242790,36
PRS1242795,10
PRS1242799,38
PRS1242804,158
PRS1242805,15
PRS1242808,40
PRS1242812,350
PRS1242814,12
PRS1242822,6
PRS1242826,82
PRS1242828,3610
PRS1242829,21
PRS1242835,52
PRS1242839,41
PRS1242843,20
PRS1242845,25
PRS1242848,61
PRS1242849,529
PRS1242852,53
PRS1242853,44
PRS1242856,3
PRS1242859,36
PRS1242860,63
PRS1242861,9
PRS1242864,6
PRS1242869,31
PRS1242872,377
PRS1242877,121
PRS1242879,6
PRS1242881,21
PRS1242883,5
PRS1242886,50
PRS1242893,240
PRS1242894,10
PRS1242899,53
PRS1242901,55
PRS1242902,79
PRS1242914,28
PRS1242915,15
PRS1242916,187
PRS1242917,210
PRS1242922,22
PRS1242925,109
PRS1242934,12
PRS1242967,19
PRS1242974,9
PRS1242978,22
PRS1242979,6
PRS1242989,59
PRS1242990,93
PRS1242993,24
PRS1242996,18
PRS1243004,59
PRS1243005,294
PRS1243020,6
PRS1243026,100
PRS1243034,12
PRS1243035,9
PRS1243039,6
PRS1243051,8
PRS1243052,108
PRS1243053,36
PRS1243056,57
PRS1243057,29
PRS1243060,68
PRS1243062,10
PRS1243063,41
PRS1243064,15
PRS1243065,10
PRS1243067,96
PRS1243068,14
PRS1243074,62
PRS1243075,16
PRS1243081,4
PRS1243082,939
PRS1243084,10
PRS1243087,22
PRS1243090,14
PRS1243091,51
PRS1243092,107
PRS1243094,728
PRS1243100,169
PRS1243103,378
PRS1243105,1
PRS1243109,0
PRS1243111,114
PRS1243123,31
PRS1243125,92
PRS1243138,57
PRS1243139,36
PRS1243141,9
PRS1243144,21
PRS1243145,19
PRS1243147,16
PRS1243151,74
PRS1243155,0
PRS1243157,11
PRS1243158,15
PRS1243159,404
PRS1243163,85
PRS1243170,502
PRS1243178,171
PRS1243181,81
PRS1243183,104
PRS1243184,26
PRS1243185,0
PRS1243188,52
PRS1243191,154
PRS1243192,96
PRS1243195,7
PRS1243197,578
PRS1243202,172
PRS1243203,88
PRS1243206,83
PRS1243208,2814
PRS1243210,86
PRS1243211,379
PRS1243215,224
PRS1243216,310
PRS1243219,71
PRS1243221,575
PRS1243223,1464
PRS1243224,145
PRS1243228,29
PRS1243232,74
PRS1243240,169
PRS1243244,362
PRS1243252,2099
PRS1243255,50
PRS1243259,41
PRS1243261,11
PRS1243264,2
PRS1243265,12
PRS1243266,74
PRS1243272,7
PRS1243275,28
PRS1243276,29
PRS1243292,82
PRS1243301,9
PRS1243302,182
PRS1243305,54
PRS1243308,815
PRS1243309,15
PRS1243310,328
PRS1243318,15
PRS1243325,59
PRS1243328,4563
PRS1243329,38
PRS1243330,25
PRS1243334,41
PRS1243337,627
PRS1243339,960
PRS1243341,284
PRS1243343,121
PRS1243345,70
PRS1243346,22
PRS1243363,1318
PRS1243423,36
PRS1243463,25
PRS1243737,72
PRS1243874,27
PRS1243919,8
PRS1243962,398
PRS1244491,1291
PRS1244492,12
PRS1244518,25
PRS1244535,36
PRS1244537,290
PRS1244544,129
PRS1244554,392
PRS1244578,39
PRS1244751,41
PRS1244822,266
PRS1244942,0
PRS1245033,64
PRS1245047,18
PRS1245067,57
PRS1245079,170
PRS1245158,106
PRS1245167,29
PRS1245246,72
PRS1245280,38
PRS1245352,19
PRS1245354,160
PRS1245473,388
PRS1245584,7099
PRS1245597,91
PRS1245669,46
PRS1245692,5
PRS1245743,74
PRS1245775,50
PRS1245788,29
PRS1245804,57
PRS1245842,616
PRS1245913,479
PRS1246021,85
PRS1246053,42
PRS1246057,101
PRS1246080,138
PRS1246084,192
PRS1246128,13
PRS1246139,145
PRS1246157,24
PRS1246205,77
PRS1246295,47
PRS1246329,27
PRS1246421,48
PRS1246428,21
PRS1246435,134
PRS1246453,42
PRS1246460,6
PRS1246470,217
PRS1246477,49
PRS1246523,95
PRS1246556,42
PRS1246571,127
PRS1246596,44
PRS1246614,26
PRS1246619,49
PRS1246660,0
PRS1246733,631
PRS1246753,65
PRS1246766,90
PRS1246822,9
PRS1246855,16
PRS1246888,5
PRS1246913,23
PRS1246915,2
PRS1247007,104
PRS1247085,46
PRS1247092,194
PRS1247107,903
PRS1247112,0
PRS1247132,207
PRS1247194,57
PRS1247212,5022
PRS1247252,138
PRS1247289,15
PRS1247320,150
PRS1247326,107
PRS1247327,83
PRS1247351,176
PRS1247377,29
PRS1247404,45
PRS1247413,29
PRS1247417,7
PRS1247418,13
PRS1247477,5
PRS1247484,6
PRS1247485,5
PRS1247486,2651
PRS1247528,140
PRS1247534,59
PRS1247560,0
PRS1247579,1017
PRS1247615,370
PRS1247636,4
PRS1247703,76
PRS1247759,3
PRS1247831,58
PRS1247883,0
PRS1247929,366
PRS1248053,99
PRS1248078,2
PRS1248116,75
PRS1248125,68
PRS1248137,83
PRS1248229,68
PRS1248307,117
PRS1248331,31
PRS1248336,11
PRS1248344,8
PRS1248490,3
PRS1248492,5
PRS1248578,4
PRS1248606,9
PRS1248821,8
PRS1248998,39
PRS1249046,2
PRS1249048,1
PRS1249050,0
PRS1249052,745
PRS1249066,2704
PRS1249074,102
PRS1249080,151
PRS1249085,110
PRS1249090,67
PRS1249124,7
PRS1249221,5
PRS1249318,60
PRS1249354,53
PRS1249419,100
PRS1249421,162
PRS1249476,46
PRS1249499,61
PRS1249598,64
PRS1249602,3
PRS1249739,26
PRS1249751,3
PRS1249757,67
PRS1249776,57
PRS1250064,31
PRS1250238,63
PRS1250268,904
PRS1250274,224
PRS1250277,14
PRS1250484,4
PRS1250547,73
PRS1250601,11
PRS1250624,254
PRS1250635,7
PRS1250658,8
