id,year,count_pubs,cited_by,count_pubs_auth,cited_by_auth
https://openalex.org/A5001954826,2021,5,1331,6,2603
https://openalex.org/A5001954826,2022,16,1381,16,2647
https://openalex.org/A5001954826,2023,8,1608,9,2864
https://openalex.org/A5001955028,2012,9,304,9,343
https://openalex.org/A5001955028,2013,5,282,5,310
https://openalex.org/A5001955028,2014,7,287,7,316
https://openalex.org/A5001955028,2015,2,243,2,264
https://openalex.org/A5001955028,2016,3,184,3,193
https://openalex.org/A5001955028,2017,6,193,6,208
https://openalex.org/A5001955028,2018,5,231,5,250
https://openalex.org/A5001955028,2019,11,296,11,313
https://openalex.org/A5001955028,2020,8,281,8,293
https://openalex.org/A5001955028,2021,4,226,4,244
https://openalex.org/A5001955028,2022,2,309,2,328
https://openalex.org/A5001955028,2023,4,195,4,211
https://openalex.org/A5002196177,2012,3,1,3,1
https://openalex.org/A5002196177,2014,2,2,2,2
https://openalex.org/A5002196177,2016,2,3,2,3
https://openalex.org/A5002196177,2017,2,1,2,1
https://openalex.org/A5002196177,2019,1,2,1,2
https://openalex.org/A5002196177,2020,7,5,7,5
https://openalex.org/A5002196177,2021,1,5,1,5
https://openalex.org/A5002196177,2022,1,5,1,5
https://openalex.org/A5002297761,2012,1,10,1,10
https://openalex.org/A5002297761,2013,1,25,1,25
https://openalex.org/A5002297761,2014,1,26,1,26
https://openalex.org/A5002297761,2019,2,6,2,6
https://openalex.org/A5002367526,2012,12,758,13,1306
https://openalex.org/A5002367526,2013,31,745,32,1223
https://openalex.org/A5002367526,2014,20,743,21,1219
https://openalex.org/A5002367526,2015,15,741,15,1223
https://openalex.org/A5002367526,2016,21,851,21,1410
https://openalex.org/A5002367526,2017,18,885,18,1485
https://openalex.org/A5002367526,2018,18,876,18,1435
https://openalex.org/A5002367526,2019,15,1002,15,1609
https://openalex.org/A5002367526,2020,18,1174,18,1930
https://openalex.org/A5002367526,2021,7,1098,7,1801
https://openalex.org/A5002367526,2022,2,1081,2,1774
https://openalex.org/A5002367526,2023,11,1019,11,1732
https://openalex.org/A5002428834,2012,3,174,3,174
https://openalex.org/A5002428834,2013,1,416,1,446
https://openalex.org/A5002428834,2014,2,559,2,602
https://openalex.org/A5002428834,2015,2,592,3,644
https://openalex.org/A5002428834,2016,1,612,1,739
https://openalex.org/A5002428834,2017,2,552,2,686
https://openalex.org/A5002428834,2019,1,533,1,628
https://openalex.org/A5002428834,2021,2,422,2,537
https://openalex.org/A5002439942,2012,4,136,4,205
https://openalex.org/A5002439942,2013,6,115,6,182
https://openalex.org/A5002439942,2014,2,150,2,200
https://openalex.org/A5002439942,2015,8,158,8,234
https://openalex.org/A5002439942,2016,8,151,8,217
https://openalex.org/A5002439942,2017,7,195,7,295
https://openalex.org/A5002439942,2018,7,203,8,384
https://openalex.org/A5002439942,2019,7,275,7,538
https://openalex.org/A5002439942,2020,6,321,6,645
