id,works_count,cited_by_count
https://openalex.org/A5087125554,233,4530
https://openalex.org/A5076545878,230,30224
https://openalex.org/A5042480102,227,22028
https://openalex.org/A5033117575,212,4924
https://openalex.org/A5081735032,210,1735
https://openalex.org/A5081082137,202,5832
https://openalex.org/A5021103343,198,3921
https://openalex.org/A5019148747,186,47
https://openalex.org/A5086338286,179,3652
https://openalex.org/A5071636683,177,9096
https://openalex.org/A5032359807,175,4234
https://openalex.org/A5069586107,170,1456
https://openalex.org/A5076134193,170,1590
https://openalex.org/A5085015384,166,4016
https://openalex.org/A5005067544,153,3472
https://openalex.org/A5011498419,151,6
https://openalex.org/A5085656367,150,518
https://openalex.org/A5012763450,149,2118
https://openalex.org/A5081976105,135,1473
https://openalex.org/A5037264696,132,7324
https://openalex.org/A5074796917,117,1986
https://openalex.org/A5082416367,110,1390
https://openalex.org/A5086104858,105,2334
https://openalex.org/A5032570121,70,1979
https://openalex.org/A5027578613,56,5984
https://openalex.org/A5076134383,55,406
https://openalex.org/A5079671092,38,132
https://openalex.org/A5059024078,31,514
https://openalex.org/A5067334129,31,15
https://openalex.org/A5077936458,25,8
https://openalex.org/A5076418869,14,21
https://openalex.org/A5037271835,8,62
https://openalex.org/A5028853089,1,0
https://openalex.org/A5002972322,1126,60961
https://openalex.org/A5038678186,1108,50841
https://openalex.org/A5064321959,1051,14663
https://openalex.org/A5017781414,507,30057
https://openalex.org/A5001877366,446,14117
https://openalex.org/A5006722682,446,25782
https://openalex.org/A5083203989,443,15825
https://openalex.org/A5003850251,426,13748
https://openalex.org/A5041070000,315,15544
https://openalex.org/A5051658337,302,21835
https://openalex.org/A5028045262,297,7531
https://openalex.org/A5008535260,282,5990
https://openalex.org/A5046539585,276,7587
https://openalex.org/A5081125994,259,15955
https://openalex.org/A5019973225,258,3216
https://openalex.org/A5009548831,257,3529
https://openalex.org/A5004632162,255,9305
https://openalex.org/A5068405878,255,500
https://openalex.org/A5002682195,252,4685
https://openalex.org/A5084712296,249,20933
https://openalex.org/A5031581290,234,954
https://openalex.org/A5067467997,201,1813
https://openalex.org/A5019318187,196,9632
https://openalex.org/A5037786135,185,7271
https://openalex.org/A5046857417,182,141
https://openalex.org/A5019060100,174,4671
https://openalex.org/A5055032163,167,10671
https://openalex.org/A5010016067,152,3401
https://openalex.org/A5047040568,130,1439
https://openalex.org/A5051167478,129,9377
https://openalex.org/A5051851888,129,3524
https://openalex.org/A5059805465,126,4305
https://openalex.org/A5031249058,110,2648
https://openalex.org/A5072459469,110,3538
https://openalex.org/A5071446834,97,1096
https://openalex.org/A5072637541,82,690
https://openalex.org/A5075236706,81,594
https://openalex.org/A5073756515,80,53
https://openalex.org/A5003610015,47,42
https://openalex.org/A5018661963,42,88
https://openalex.org/A5027636051,39,141
https://openalex.org/A5031800599,14,89
https://openalex.org/A5075034498,14,273
https://openalex.org/A5026589440,7,0
https://openalex.org/A5033227174,7,199
https://openalex.org/A5024365504,5,121
https://openalex.org/A5012760673,4,11
https://openalex.org/A5036518928,4,46
https://openalex.org/A5023516590,1,0
https://openalex.org/A5051657243,1,0
https://openalex.org/A5019534535,678,25804
https://openalex.org/A5003688889,579,25427
https://openalex.org/A5087896916,553,20814
https://openalex.org/A5025152709,543,23353
https://openalex.org/A5077029853,538,6929
https://openalex.org/A5042624694,514,22547
https://openalex.org/A5050089803,512,17023
https://openalex.org/A5056819375,415,19547
https://openalex.org/A5006945105,406,20623
https://openalex.org/A5079197101,391,39831
https://openalex.org/A5044708371,390,19019
https://openalex.org/A5085628953,359,25910
https://openalex.org/A5065911565,354,12222
https://openalex.org/A5070751842,336,13514
https://openalex.org/A5020940867,328,13247
https://openalex.org/A5056347293,327,19457
https://openalex.org/A5016277575,306,5406
https://openalex.org/A5040711397,306,9270
https://openalex.org/A5013491444,282,6195
https://openalex.org/A5066413156,265,6152
https://openalex.org/A5022631255,252,5230
https://openalex.org/A5042546788,250,15348
https://openalex.org/A5058056389,240,8025
https://openalex.org/A5016397696,237,9085
https://openalex.org/A5000613364,226,7915
https://openalex.org/A5011356825,198,9676
https://openalex.org/A5041058964,182,4111
https://openalex.org/A5038302656,172,41216
https://openalex.org/A5060550957,160,13544
https://openalex.org/A5061179141,158,31178
https://openalex.org/A5024472505,153,7701
https://openalex.org/A5055780874,126,2301
https://openalex.org/A5007863629,124,5848
https://openalex.org/A5057667502,122,7188
https://openalex.org/A5016923944,88,914
https://openalex.org/A5073535607,65,115
https://openalex.org/A5069059343,62,940
https://openalex.org/A5020284927,52,1196
https://openalex.org/A5020869847,50,368
https://openalex.org/A5039740158,46,897
https://openalex.org/A5013861328,43,1967
https://openalex.org/A5019072565,33,711
https://openalex.org/A5039817374,17,457
https://openalex.org/A5061980162,17,468
https://openalex.org/A5067404649,12,196
https://openalex.org/A5081431339,10,1
https://openalex.org/A5025954852,6,1
https://openalex.org/A5077061169,5,664
